listing_id,name,host_id,host_name,host_city,host_state,host_country,neighbourhood,property_type,room_type,review_scores_rating
27348973,Ruim huis+tuin op het zuiden (30+ & families oThe Netherlandsy),27749179,Kitty,Amsterdam,North Holland,The Netherlands,Oud-Oost,Entire apartment,Entire home/apt,96
27349136,Large city apartment with outdoor patio!,206101768,Mike,The Netherlands,,,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,92
27351400,Apartment in the Center of De Pijp of Amsterdam..,205955975,Julien,The Netherlands,,,De Pijp - Rivierenbuurt,Entire apartment,Entire home/apt,100
27353091,Designer apartment 5 minutes from city center,13191184,Natasha,Amsterdam,North Holland,The Netherlands,Oud-Oost,Entire apartment,Entire home/apt,98
27356179,"Amsterdam Apartment canal view, SUPER location.",7514867,Jason,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,100
27362571,Cosy and spacious two-bedroom apartment,138583516,Tjibbe,Amsterdam,North Holland,The Netherlands,Bos en Lommer,Entire apartment,Entire home/apt,93
27362708,2 connected rooms in House Boat,206197883,Charles&Yochi,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Private room in houseboat,Private room,88
27364073,Roof Terrace Apt❤️ in non-tourist area,3573624,Rachel,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,100
27371433,Artsy Amsterdam Apartment - Near City Center,3094154,Alessandra,Amsterdam,North Holland,The Netherlands,Westerpark,Entire apartment,Entire home/apt,96
27379405,"Light and central apartment, canalview",14072005,Susanne,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,100
27381448,Spacious renovated apartment close to centre,125120798,Nader,The Netherlands,,,Slotervaart,Entire apartment,Entire home/apt,100
27383043,Beautiful 2-floor home with roof terrace near RAI,21800150,,,,,Zuid,Entire apartment,Entire home/apt,83
27383377,"Spacious, bright apartment with roof terrace",29627302,Mark,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,98
27385881,"Nice apt in trendy neighbourhood, max 2 adults",206381641,Wendy,The Netherlands,,,Watergraafsmeer,Entire house,Entire home/apt,
27389586,room in central neighborhood Amsterdam oud west,104761163,Antoan,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Private room in apartment,Private room,
27391037,2 Pers. Apartment in Amsterdam!,121464989,Karen,Amsterdam,North Holland,The Netherlands,Noord-West,Entire apartment,Entire home/apt,90
27394704,Private Room With A View Amsterdam Centre,41022055,Inez,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Private room in apartment,Private room,60
27396092,houseboat near citycenter with garden + fireplace,191220688,Wessel,Amsterdam,North Holland,The Netherlands,Bos en Lommer,Houseboat,Entire home/apt,100
27396373,Nice room in stylish apartment with balcony,8571784,Enneke,Nederland,,,De Baarsjes - Oud-West,Private room in apartment,Private room,86
27397058,Cozy room in stylish apartment,8571784,Enneke,Nederland,,,De Baarsjes - Oud-West,Private room in apartment,Private room,87
27397704,Cosy modern apartment close to AMS city centre,75266327,Niels,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,98
27397878,Amsterdam Attic,10830361,Rogier,The Netherlands,,,Centrum-West,Entire apartment,Entire home/apt,100
27400809,110m2 Artist apartment next to the Vondelpark!,59311396,Taffy,Amsterdam,North Holland,The Netherlands,Zuid,Entire apartment,Entire home/apt,80
27409996,Amsterdam Watervilla - 15 minutes from CS,206572042,Bachir,Amsterdam,North Holland,The Netherlands,Oud-Noord,Entire villa,Entire home/apt,
27411542,For Easy Going People,206579794,James,Amsterdam,North Holland,The Netherlands,Centrum-West,Private room in apartment,Private room,92
